Category: All categories

Time,Allergy: (United States),Peanuts: (United States)
2025-09-27T09:20:00-04:00,40,12
2025-09-27T09:28:00-04:00,38,13
2025-09-27T09:36:00-04:00,35,13
2025-09-27T09:44:00-04:00,39,9
2025-09-27T09:52:00-04:00,34,16
2025-09-27T10:00:00-04:00,40,12
2025-09-27T10:08:00-04:00,38,13
2025-09-27T10:16:00-04:00,39,16
2025-09-27T10:24:00-04:00,35,14
2025-09-27T10:32:00-04:00,36,14
2025-09-27T10:40:00-04:00,32,14
2025-09-27T10:48:00-04:00,32,14
2025-09-27T10:56:00-04:00,33,14
2025-09-27T11:04:00-04:00,37,12
2025-09-27T11:12:00-04:00,35,14
2025-09-27T11:20:00-04:00,32,14
2025-09-27T11:28:00-04:00,41,12
2025-09-27T11:36:00-04:00,34,15
2025-09-27T11:44:00-04:00,36,14
2025-09-27T11:52:00-04:00,34,14
2025-09-27T12:00:00-04:00,32,13
2025-09-27T12:08:00-04:00,32,15
2025-09-27T12:16:00-04:00,29,13
2025-09-27T12:24:00-04:00,31,13
2025-09-27T12:32:00-04:00,33,16
2025-09-27T12:40:00-04:00,31,16
2025-09-27T12:48:00-04:00,31,18
2025-09-27T12:56:00-04:00,31,16
2025-09-27T13:04:00-04:00,30,15
2025-09-27T13:12:00-04:00,33,17
2025-09-27T13:20:00-04:00,32,16
2025-09-27T13:28:00-04:00,32,18
2025-09-27T13:36:00-04:00,32,16
2025-09-27T13:44:00-04:00,31,15
2025-09-27T13:52:00-04:00,32,16
2025-09-27T14:00:00-04:00,28,18
2025-09-27T14:08:00-04:00,30,15
2025-09-27T14:16:00-04:00,32,13
2025-09-27T14:24:00-04:00,30,14
2025-09-27T14:32:00-04:00,30,16
2025-09-27T14:40:00-04:00,28,15
2025-09-27T14:48:00-04:00,29,15
2025-09-27T14:56:00-04:00,26,14
2025-09-27T15:04:00-04:00,29,17
2025-09-27T15:12:00-04:00,29,17
2025-09-27T15:20:00-04:00,33,19
2025-09-27T15:28:00-04:00,29,17
2025-09-27T15:36:00-04:00,31,15
2025-09-27T15:44:00-04:00,27,16
2025-09-27T15:52:00-04:00,29,15
2025-09-27T16:00:00-04:00,28,15
2025-09-27T16:08:00-04:00,31,17
2025-09-27T16:16:00-04:00,29,17
2025-09-27T16:24:00-04:00,27,18
2025-09-27T16:32:00-04:00,27,15
2025-09-27T16:40:00-04:00,27,16
2025-09-27T16:48:00-04:00,28,17
